dataset,classifier,metric,author,value_name,value
bank,perceptron,f1,ana--beatriz,v1,0.6026277569
bank,perceptron,acc,ana--beatriz,v1,0.8850828729
bank,svm,f1,ana--beatriz,v1,0.4713785047
bank,svm,acc,ana--beatriz,v1,0.8917127072
bank,bayes,f1,ana--beatriz,v1,0.6294320923
bank,bayes,acc,ana--beatriz,v1,0.826519337
bank,tree,f1,ana--beatriz,v1,0.6853783231
bank,tree,acc,ana--beatriz,v1,0.8872928177
bank,knn,f1,ana--beatriz,v1,0.5217904322
bank,knn,acc,ana--beatriz,v1,0.8861878453
glass_identification,perceptron,f1,andrey--jodar,v1,0.2517676768
glass_identification,perceptron,acc,andrey--jodar,v1,0.4285714286
glass_identification,svm,f1,andrey--jodar,v1,0.22
glass_identification,svm,acc,andrey--jodar,v1,0.4047619048
glass_identification,bayes,f1,andrey--jodar,v1,0.3832671958
glass_identification,bayes,acc,andrey--jodar,v1,0.3333333333
glass_identification,tree,f1,andrey--jodar,v1,0.6656445406
glass_identification,tree,acc,andrey--jodar,v1,0.6666666667
glass_identification,knn,f1,andrey--jodar,v1,0.3433333333
glass_identification,knn,acc,andrey--jodar,v1,0.5238095238
spambase,perceptron,f1,arthur--heiji,v1,0.8875547559
spambase,perceptron,acc,arthur--heiji,v1,0.8913043478
spambase,svm,f1,arthur--heiji,v1,0.9233449819
spambase,svm,acc,arthur--heiji,v1,0.9260869565
spambase,bayes,f1,arthur--heiji,v1,0.799814573
spambase,bayes,acc,arthur--heiji,v1,0.8
spambase,tree,f1,arthur--heiji,v1,0.9091032176
spambase,tree,acc,arthur--heiji,v1,0.9119565217
spambase,knn,f1,arthur--heiji,v1,0.9037153323
spambase,knn,acc,arthur--heiji,v1,0.9076086957
winequality-red,perceptron,acc,arthur-hydeki,v1,0.7737429745
winequality-red,perceptron,f1,arthur-hydeki,v1,0.776945131
winequality-red,svm,acc,arthur-hydeki,v1,0.925550764
winequality-red,svm,f1,arthur-hydeki,v1,0.9326344829
winequality-red,bayes,acc,arthur-hydeki,v1,0.8403241326
winequality-red,bayes,f1,arthur-hydeki,v1,0.8661156697
winequality-red,knn,acc,arthur-hydeki,v1,0.7432030288
winequality-red,knn,f1,arthur-hydeki,v1,0.8362311064
winequality-red,tree,acc,arthur-hydeki,v1,0.9578704493
winequality-red,tree,f1,arthur-hydeki,v1,0.7850585589
insurance,perceptron,acc,arthur-protazio,v1,0.8544776119
insurance,perceptron,f1,arthur-protazio,v1,0.8481986815
insurance,tree,acc,arthur-protazio,v1,0.8097014925
insurance,tree,f1,arthur-protazio,v1,0.8099135635
insurance,tree,acc,arthur-protazio,v1,0.9029850746
insurance,tree,f1,arthur-protazio,v1,0.9013633791
insurance,knn,acc,arthur-protazio,v1,0.8134328358
insurance,knn,f1,arthur-protazio,v1,0.8113834408
insurance,svm,acc,arthur-protazio,v1,0.9029850746
insurance,svm,f1,arthur-protazio,v1,0.9009203147
column_2C.csv,perceptron,f1,eduardo-barbeiro,v1,0.4433497537
column_2C.csv,perceptron,acc,eduardo-barbeiro,v1,0.5967741935
column_2C.csv,svm,f1,eduardo-barbeiro,v1,0.5139010828
column_2C.csv,svm,acc,eduardo-barbeiro,v1,0.7419354839
column_2C.csv,bayes,f1,eduardo-barbeiro,v1,0.8357142857
column_2C.csv,bayes,acc,eduardo-barbeiro,v1,0.8870967742
column_2C.csv,tree,f1,eduardo-barbeiro,v1,0.8238977165
column_2C.csv,tree,acc,eduardo-barbeiro,v1,0.8548387097
column_2C.csv,knn,f1,eduardo-barbeiro,v1,0.7760210804
column_2C.csv,knn,acc,eduardo-barbeiro,v1,0.8225806452
Automobile,perceptron,f1,eduardo-cavazin,v1,0.0885733604
Automobile,perceptron,acc,eduardo-cavazin,v1,0.2258064516
Automobile,svm,f1,eduardo-cavazin,v1,0.2786764706
Automobile,svm,acc,eduardo-cavazin,v1,0.5483870968
Automobile,bayes,f1,eduardo-cavazin,v1,0.3161904762
Automobile,bayes,acc,eduardo-cavazin,v1,0.4516129032
Automobile,tree,f1,eduardo-cavazin,v1,0.6227106227
Automobile,tree,acc,eduardo-cavazin,v1,0.7741935484
Automobile,knn,f1,eduardo-cavazin,v1,0.6548387097
Automobile,knn,acc,eduardo-cavazin,v1,0.7096774194
accelerator-mobile,perceptron,f1,gregory--soares,v1,0.496
accelerator-mobile,perceptron,acc,gregory--soares,v1,0.982
accelerator-mobile,svm,f1,gregory--soares,v1,0.829
accelerator-mobile,svm,acc,gregory--soares,v1,0.99
accelerator-mobile,bayes,f1,gregory--soares,v1,0.496
accelerator-mobile,bayes,acc,gregory--soares,v1,0.982
accelerator-mobile,tree,f1,gregory--soares,v1,0.914
accelerator-mobile,tree,acc,gregory--soares,v1,0.994
accelerator-mobile,knn,f1,gregory--soares,v1,0.853
accelerator-mobile,knn,acc,gregory--soares,v1,0.99
iris,perceptron,acc,gustavo--cruz-v2,v1,0.9
iris,perceptron,f1,gustavo--cruz-v2,v1,0.4736842105
iris,svm,acc,gustavo--cruz-v2,v1,1.0
iris,svm,f1,gustavo--cruz-v2,v1,1.0
iris,bayes,acc,gustavo--cruz-v2,v1,0.9666666667
iris,bayes,f1,gustavo--cruz-v2,v1,0.6470588235
iris,tree,acc,gustavo--cruz-v2,v1,0.8333333333
iris,tree,f1,gustavo--cruz-v2,v1,0.4545454545
iris,knn,acc,gustavo--cruz-v2,v1,0.9666666667
iris,knn,f1,gustavo--cruz-v2,v1,0.9663299663
garments-workers,perceptron,acc,isaque--cruz,v1,0.7714932127
garments-workers,perceptron,f1,isaque--cruz,v1,0.6271724334
garments-workers,svm,acc,isaque--cruz,v1,0.7285067873
garments-workers,svm,f1,isaque--cruz,v1,0.4371816638
garments-workers,bayes,acc,isaque--cruz,v1,0.7737556561
garments-workers,bayes,f1,isaque--cruz,v1,0.6422211429
garments-workers,tree,acc,isaque--cruz,v1,0.7963800905
garments-workers,tree,f1,isaque--cruz,v1,0.7112453181
garments-workers,knn,acc,isaque--cruz,v1,0.7850678733
garments-workers,knn,f1,isaque--cruz,v1,0.7168099815
wine,perceptron,acc,larissa-v2,v1,0.9722222222
wine,perceptron,f1,larissa-v2,v1,0.9743209877
wine,svm,acc,larissa-v2,v1,0.9722222222
wine,svm,f1,larissa-v2,v1,0.9717813051
wine,bayes,acc,larissa-v2,v1,0.9444444444
wine,bayes,f1,larissa-v2,v1,0.9458247067
wine,knn,acc,larissa-v2,v1,0.9166666667
wine,knn,f1,larissa-v2,v1,0.9163636364
wine,tree,acc,larissa-v2,v1,0.9444444444
wine,tree,f1,larissa-v2,v1,0.9484126984
tic-tac-toe,perceptron,f1,leandro-menoni,v1,0.4
tic-tac-toe,perceptron,acc,leandro-menoni,v1,0.66
tic-tac-toe,svm,f1,leandro-menoni,v1,0.46
tic-tac-toe,svm,acc,leandro-menoni,v1,0.68
tic-tac-toe,bayes,f1,leandro-menoni,v1,0.6
tic-tac-toe,bayes,acc,leandro-menoni,v1,0.73
tic-tac-toe,tree,f1,leandro-menoni,v1,0.86
tic-tac-toe,tree,acc,leandro-menoni,v1,0.88
tic-tac-toe,knn,f1,leandro-menoni,v1,0.83
tic-tac-toe,knn,acc,leandro-menoni,v1,0.86
wine-white,tree,acc,lucas-v2,v1,0.7834525026
wine-white,tree,f1,lucas-v2,v1,0.7471393762
wine-white,knn,acc,lucas-v2,v1,0.7834525026
wine-white,knn,f1,lucas-v2,v1,0.7480455283
wine-white,bayes,acc,lucas-v2,v1,0.7048008172
wine-white,bayes,f1,lucas-v2,v1,0.6669601585
wine-white,perceptron,acc,lucas-v2,v1,0.7405515832
wine-white,perceptron,f1,lucas-v2,v1,0.6264930305
wine-white,svm,acc,lucas-v2,v1,0.7517875383
wine-white,svm,f1,lucas-v2,v1,0.6542400816
data.csv,perceptron,acc,luiz-miguel-silva,v1,0.695
data.csv,perceptron,f1,luiz-miguel-silva,v1,0.6261310545
data.csv,svm,acc,luiz-miguel-silva,v1,0.7325
data.csv,svm,f1,luiz-miguel-silva,v1,0.5785650624
data.csv,bayes,acc,luiz-miguel-silva,v1,0.675
data.csv,bayes,f1,luiz-miguel-silva,v1,0.5759757355
data.csv,knn,acc,luiz-miguel-silva,v1,0.6675
data.csv,knn,f1,luiz-miguel-silva,v1,0.565599292
data.csv,tree,acc,luiz-miguel-silva,v1,0.655
data.csv,tree,f1,luiz-miguel-silva,v1,0.5911057746
breast-cancer-wisconsin.csv,perceptron,acc,mateus--raskoski,v1,0.9357142857
breast-cancer-wisconsin.csv,perceptron,f1,mateus--raskoski,v1,0.935549685
breast-cancer-wisconsin.csv,svm,acc,mateus--raskoski,v1,0.9571428571
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v1,0.9573446961
breast-cancer-wisconsin.csv,bayes,acc,mateus--raskoski,v1,0.95
breast-cancer-wisconsin.csv,bayes,f1,mateus--raskoski,v1,0.9503432111
breast-cancer-wisconsin.csv,knn,acc,mateus--raskoski,v1,0.9642857143
breast-cancer-wisconsin.csv,knn,f1,mateus--raskoski,v1,0.9643722285
breast-cancer-wisconsin.csv,tree,acc,mateus--raskoski,v1,0.9285714286
breast-cancer-wisconsin.csv,tree,f1,mateus--raskoski,v1,0.9285714286
iris,perceptron,acc,pablo-v2,v1,0.7
iris,perceptron,f1,pablo-v2,v1,0.6800275076
iris,svm,acc,pablo-v2,v1,1.0
iris,svm,f1,pablo-v2,v1,1.0
iris,bayes,acc,pablo-v2,v1,1.0
iris,bayes,f1,pablo-v2,v1,1.0
iris,knn,acc,pablo-v2,v1,1.0
iris,knn,f1,pablo-v2,v1,1.0
iris,tree,acc,pablo-v2,v1,1.0
iris,tree,f1,pablo-v2,v1,1.0
bank,perceptron,acc,rafael-leonardo,v1,0.6955568172
bank,perceptron,f1,rafael-leonardo,v1,0.6780238246
bank,svm,acc,rafael-leonardo,v1,0.6938500313
bank,svm,f1,rafael-leonardo,v1,0.7458385624
bank,bayes,acc,rafael-leonardo,v1,0.7394879322
bank,bayes,f1,rafael-leonardo,v1,0.5843560337
bank,knn,acc,rafael-leonardo,v1,0.7991536057
bank,knn,f1,rafael-leonardo,v1,0.7523618747
bank,tree,acc,rafael-leonardo,v1,0.6970751069
bank,tree,f1,rafael-leonardo,v1,0.7531224179
Rice,perceptron,acc,rafael-scarpelli,v1,0.7
Rice,perceptron,f1,rafael-scarpelli,v1,0.6238244514
Rice,svm,acc,rafael-scarpelli,v1,0.9666666667
Rice,svm,f1,rafael-scarpelli,v1,0.9665831245
Rice,bayes,acc,rafael-scarpelli,v1,0.9666666667
Rice,bayes,f1,rafael-scarpelli,v1,0.9665831245
Rice,knn,acc,rafael-scarpelli,v1,1.0
Rice,knn,f1,rafael-scarpelli,v1,1.0
Rice,tree,acc,rafael-scarpelli,v1,0.9
Rice,tree,f1,rafael-scarpelli,v1,0.8976982097
Mushroom,perceptron,f1,renato-augusto-v2,v1,0.9113475177
Mushroom,perceptron,acc,renato-augusto-v2,v1,0.9113475177
Mushroom,svm,f1,renato-augusto-v2,v1,0.9725177305
Mushroom,svm,acc,renato-augusto-v2,v1,0.9725177305
Mushroom,bayes,f1,renato-augusto-v2,v1,0.6693262411
Mushroom,bayes,acc,renato-augusto-v2,v1,0.6693262411
Mushroom,tree,f1,renato-augusto-v2,v1,1.0
Mushroom,tree,acc,renato-augusto-v2,v1,1.0
Mushroom,knn,f1,renato-augusto-v2,v1,1.0
Mushroom,knn,acc,renato-augusto-v2,v1,1.0
car.csv,perceptron,f1,romulo-jordao,v1,0.7708856034
car.csv,perceptron,acc,romulo-jordao,v1,0.8988439306
car.csv,svm,f1,romulo-jordao,v1,0.8899062157
car.csv,svm,acc,romulo-jordao,v1,0.9566473988
car.csv,bayes,f1,romulo-jordao,v1,0.6955683119
car.csv,bayes,acc,romulo-jordao,v1,0.7919075145
car.csv,knn,f1,romulo-jordao,v1,0.4273609004
car.csv,knn,acc,romulo-jordao,v1,0.8063583815
car.csv,tree,f1,romulo-jordao,v1,0.944209407
car.csv,tree,acc,romulo-jordao,v1,0.9682080925
mushroom,perceptron,acc,thalles--barros,v1,0.513546798
mushroom,perceptron,f1,thalles--barros,v1,0.4723065406
mushroom,svm,acc,thalles--barros,v1,0.7801724138
mushroom,svm,f1,thalles--barros,v1,0.6885002539
mushroom,bayes,acc,thalles--barros,v1,0.4716748768
mushroom,bayes,f1,thalles--barros,v1,0.4410728382
mushroom,tree,acc,thalles--barros,v1,1.0
mushroom,tree,f1,thalles--barros,v1,1.0
mushroom,knn,acc,thalles--barros,v1,0.6958128079
mushroom,knn,f1,thalles--barros,v1,0.6958128079
dataset_name,classifier_name,metric,vitor--garcia,v1,
agaricus-lepiota,perceptron,f1,vitor--garcia,v1,0.9136652784
agaricus-lepiota,perceptron,acc,vitor--garcia,v1,0.9210992908
agaricus-lepiota,svm,f1,vitor--garcia,v1,1.0
agaricus-lepiota,svm,acc,vitor--garcia,v1,1.0
agaricus-lepiota,bayes,f1,vitor--garcia,v1,0.6059167463
agaricus-lepiota,bayes,acc,vitor--garcia,v1,0.704787234
agaricus-lepiota,tree,f1,vitor--garcia,v1,1.0
agaricus-lepiota,tree,acc,vitor--garcia,v1,1.0
agaricus-lepiota,knn,f1,vitor--garcia,v1,1.0
agaricus-lepiota,knn,acc,vitor--garcia,v1,1.0
Car Evaluation,perceptron,acc,vitor-oliveira,v1,0.7803468208
Car Evaluation,perceptron,f1,vitor-oliveira,v1,0.7047619048
Car Evaluation,svm,acc,vitor-oliveira,v1,0.8815028902
Car Evaluation,svm,f1,vitor-oliveira,v1,0.76
Car Evaluation,bayes,acc,vitor-oliveira,v1,0.7398843931
Car Evaluation,bayes,f1,vitor-oliveira,v1,0.5454545455
Car Evaluation,tree,acc,vitor-oliveira,v1,0.9768786127
Car Evaluation,tree,f1,vitor-oliveira,v1,0.9855072464
Car Evaluation,knn,acc,vitor-oliveira,v1,0.9132947977
Car Evaluation,knn,f1,vitor-oliveira,v1,0.9281767956
bank,perceptron,f1,ana--beatriz,v2,0.5043351992
bank,perceptron,acc,ana--beatriz,v2,0.8993362832
bank,svm,f1,ana--beatriz,v2,0.4735002912
bank,svm,acc,ana--beatriz,v2,0.8993362832
bank,bayes,f1,ana--beatriz,v2,0.6178300866
bank,bayes,acc,ana--beatriz,v2,0.8340707965
bank,tree,f1,ana--beatriz,v2,0.6525763478
bank,tree,acc,ana--beatriz,v2,0.8949115044
bank,knn,f1,ana--beatriz,v2,0.5197270922
bank,knn,acc,ana--beatriz,v2,0.8949115044
glass_identification,perceptron,f1,andrey--jodar,v2,0.3749612403
glass_identification,perceptron,acc,andrey--jodar,v2,0.5
glass_identification,svm,f1,andrey--jodar,v2,0.2742857143
glass_identification,svm,acc,andrey--jodar,v2,0.4761904762
glass_identification,bayes,f1,andrey--jodar,v2,0.4250528444
glass_identification,bayes,acc,andrey--jodar,v2,0.4523809524
glass_identification,tree,f1,andrey--jodar,v2,0.5037037037
glass_identification,tree,acc,andrey--jodar,v2,0.6904761905
glass_identification,knn,f1,andrey--jodar,v2,0.6838095238
glass_identification,knn,acc,andrey--jodar,v2,0.6666666667
spambase,perceptron,f1,arthur--heiji,v2,0.8850867595
spambase,perceptron,acc,arthur--heiji,v2,0.8913043478
spambase,svm,f1,arthur--heiji,v2,0.9332786492
spambase,svm,acc,arthur--heiji,v2,0.9369565217
spambase,bayes,f1,arthur--heiji,v2,0.8272608437
spambase,bayes,acc,arthur--heiji,v2,0.8282608696
spambase,tree,f1,arthur--heiji,v2,0.9115639719
spambase,tree,acc,arthur--heiji,v2,0.9163043478
spambase,knn,f1,arthur--heiji,v2,0.8936982558
spambase,knn,acc,arthur--heiji,v2,0.9
winequality-red,perceptron,acc,arthur-hydeki,v2,0.7783285691
winequality-red,perceptron,f1,arthur-hydeki,v2,0.7075652599
winequality-red,svm,acc,arthur-hydeki,v2,0.8792635613
winequality-red,svm,f1,arthur-hydeki,v2,0.9013502324
winequality-red,bayes,acc,arthur-hydeki,v2,0.8510398506
winequality-red,bayes,f1,arthur-hydeki,v2,0.8218794117
winequality-red,knn,acc,arthur-hydeki,v2,0.8501200176
winequality-red,knn,f1,arthur-hydeki,v2,0.8680324607
winequality-red,tree,acc,arthur-hydeki,v2,0.7694895995
winequality-red,tree,f1,arthur-hydeki,v2,0.7529439248
insurance,perceptron,acc,arthur-protazio,v2,0.8619402985
insurance,perceptron,f1,arthur-protazio,v2,0.8548945068
insurance,tree,acc,arthur-protazio,v2,0.828358209
insurance,tree,f1,arthur-protazio,v2,0.8289835603
insurance,tree,acc,arthur-protazio,v2,0.8880597015
insurance,tree,f1,arthur-protazio,v2,0.8877769276
insurance,knn,acc,arthur-protazio,v2,0.8432835821
insurance,knn,f1,arthur-protazio,v2,0.8388986965
insurance,svm,acc,arthur-protazio,v2,0.9179104478
insurance,svm,f1,arthur-protazio,v2,0.9165297785
column_2C.csv,perceptron,f1,eduardo-barbeiro,v2,0.8927354036
column_2C.csv,perceptron,acc,eduardo-barbeiro,v2,0.9032258065
column_2C.csv,svm,f1,eduardo-barbeiro,v2,0.4576850932
column_2C.csv,svm,acc,eduardo-barbeiro,v2,0.6129032258
column_2C.csv,bayes,f1,eduardo-barbeiro,v2,0.8770114943
column_2C.csv,bayes,acc,eduardo-barbeiro,v2,0.8870967742
column_2C.csv,tree,f1,eduardo-barbeiro,v2,0.8840492035
column_2C.csv,tree,acc,eduardo-barbeiro,v2,0.9032258065
column_2C.csv,knn,f1,eduardo-barbeiro,v2,0.6568366593
column_2C.csv,knn,acc,eduardo-barbeiro,v2,0.6935483871
Automobile,perceptron,f1,eduardo-cavazin,v2,0.309004329
Automobile,perceptron,acc,eduardo-cavazin,v2,0.4516129032
Automobile,svm,f1,eduardo-cavazin,v2,0.1663082437
Automobile,svm,acc,eduardo-cavazin,v2,0.3225806452
Automobile,bayes,f1,eduardo-cavazin,v2,0.3267142215
Automobile,bayes,acc,eduardo-cavazin,v2,0.5806451613
Automobile,tree,f1,eduardo-cavazin,v2,0.606372549
Automobile,tree,acc,eduardo-cavazin,v2,0.7419354839
Automobile,knn,f1,eduardo-cavazin,v2,0.4109311741
Automobile,knn,acc,eduardo-cavazin,v2,0.5161290323
accelerator-mobile,perceptron,f1,gregory--soares,v2,0.495
accelerator-mobile,perceptron,acc,gregory--soares,v2,0.981
accelerator-mobile,svm,f1,gregory--soares,v2,0.813
accelerator-mobile,svm,acc,gregory--soares,v2,0.988
accelerator-mobile,bayes,f1,gregory--soares,v2,0.495
accelerator-mobile,bayes,acc,gregory--soares,v2,0.981
accelerator-mobile,tree,f1,gregory--soares,v2,0.917
accelerator-mobile,tree,acc,gregory--soares,v2,0.994
accelerator-mobile,knn,f1,gregory--soares,v2,0.821
accelerator-mobile,knn,acc,gregory--soares,v2,0.987
iris,perceptron,acc,gustavo--cruz-v2,v2,0.9333333333
iris,perceptron,f1,gustavo--cruz-v2,v2,0.9282296651
iris,svm,acc,gustavo--cruz-v2,v2,0.5
iris,svm,f1,gustavo--cruz-v2,v2,0.3333333333
iris,bayes,acc,gustavo--cruz-v2,v2,1.0
iris,bayes,f1,gustavo--cruz-v2,v2,1.0
iris,tree,acc,gustavo--cruz-v2,v2,0.9666666667
iris,tree,f1,gustavo--cruz-v2,v2,0.6444444444
iris,knn,acc,gustavo--cruz-v2,v2,0.8333333333
iris,knn,f1,gustavo--cruz-v2,v2,0.4545454545
garments-workers,perceptron,acc,isaque--cruz,v2,0.6425339367
garments-workers,perceptron,f1,isaque--cruz,v2,0.6151014109
garments-workers,svm,acc,isaque--cruz,v2,0.7714932127
garments-workers,svm,f1,isaque--cruz,v2,0.4630438182
garments-workers,bayes,acc,isaque--cruz,v2,0.814479638
garments-workers,bayes,f1,isaque--cruz,v2,0.6959089841
garments-workers,tree,acc,isaque--cruz,v2,0.7918552036
garments-workers,tree,f1,isaque--cruz,v2,0.7265513624
garments-workers,knn,acc,isaque--cruz,v2,0.8099547511
garments-workers,knn,f1,isaque--cruz,v2,0.7376854599
wine,perceptron,acc,larissa-v2,v2,0.9166666667
wine,perceptron,f1,larissa-v2,v2,0.9163636364
wine,svm,acc,larissa-v2,v2,0.9444444444
wine,svm,f1,larissa-v2,v2,0.9440559441
wine,bayes,acc,larissa-v2,v2,0.9444444444
wine,bayes,f1,larissa-v2,v2,0.9440559441
wine,knn,acc,larissa-v2,v2,0.8888888889
wine,knn,f1,larissa-v2,v2,0.8876328502
wine,tree,acc,larissa-v2,v2,0.8055555556
wine,tree,f1,larissa-v2,v2,0.8088405797
tic-tac-toe,perceptron,f1,leandro-menoni,v2,0.55
tic-tac-toe,perceptron,acc,leandro-menoni,v2,0.57
tic-tac-toe,svm,f1,leandro-menoni,v2,0.41
tic-tac-toe,svm,acc,leandro-menoni,v2,0.65
tic-tac-toe,bayes,f1,leandro-menoni,v2,0.59
tic-tac-toe,bayes,acc,leandro-menoni,v2,0.72
tic-tac-toe,tree,f1,leandro-menoni,v2,0.85
tic-tac-toe,tree,acc,leandro-menoni,v2,0.86
tic-tac-toe,knn,f1,leandro-menoni,v2,0.82
tic-tac-toe,knn,acc,leandro-menoni,v2,0.84
wine-white,tree,acc,lucas-v2,v2,0.7722165475
wine-white,tree,f1,lucas-v2,v2,0.7457246516
wine-white,knn,acc,lucas-v2,v2,0.7568947906
wine-white,knn,f1,lucas-v2,v2,0.7191258016
wine-white,bayes,acc,lucas-v2,v2,0.6813074566
wine-white,bayes,f1,lucas-v2,v2,0.649480845
wine-white,perceptron,acc,lucas-v2,v2,0.6649642492
wine-white,perceptron,f1,lucas-v2,v2,0.4393994413
wine-white,svm,acc,lucas-v2,v2,0.708886619
wine-white,svm,f1,lucas-v2,v2,0.6050390905
data.csv,perceptron,acc,luiz-miguel-silva,v2,0.675
data.csv,perceptron,f1,luiz-miguel-silva,v2,0.5981664833
data.csv,svm,acc,luiz-miguel-silva,v2,0.735
data.csv,svm,f1,luiz-miguel-silva,v2,0.6054484049
data.csv,bayes,acc,luiz-miguel-silva,v2,0.67
data.csv,bayes,f1,luiz-miguel-silva,v2,0.5824775353
data.csv,knn,acc,luiz-miguel-silva,v2,0.655
data.csv,knn,f1,luiz-miguel-silva,v2,0.5519182965
data.csv,tree,acc,luiz-miguel-silva,v2,0.6475
data.csv,tree,f1,luiz-miguel-silva,v2,0.5704033383
breast-cancer-wisconsin.csv,perceptron,acc,mateus--raskoski,v2,0.95
breast-cancer-wisconsin.csv,perceptron,f1,mateus--raskoski,v2,0.9492877493
breast-cancer-wisconsin.csv,svm,acc,mateus--raskoski,v2,0.9642857143
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v2,0.9641942695
breast-cancer-wisconsin.csv,bayes,acc,mateus--raskoski,v2,0.9571428571
breast-cancer-wisconsin.csv,bayes,f1,mateus--raskoski,v2,0.9573446961
breast-cancer-wisconsin.csv,knn,acc,mateus--raskoski,v2,0.9714285714
breast-cancer-wisconsin.csv,knn,f1,mateus--raskoski,v2,0.9712782299
breast-cancer-wisconsin.csv,tree,acc,mateus--raskoski,v2,0.9285714286
breast-cancer-wisconsin.csv,tree,f1,mateus--raskoski,v2,0.9273182957
iris,perceptron,acc,pablo-v2,v2,0.6666666667
iris,perceptron,f1,pablo-v2,v2,0.5367686527
iris,svm,acc,pablo-v2,v2,0.9666666667
iris,svm,f1,pablo-v2,v2,0.9665831245
iris,bayes,acc,pablo-v2,v2,0.9333333333
iris,bayes,f1,pablo-v2,v2,0.9326599327
iris,knn,acc,pablo-v2,v2,0.9666666667
iris,knn,f1,pablo-v2,v2,0.9665831245
iris,tree,acc,pablo-v2,v2,0.8666666667
iris,tree,f1,pablo-v2,v2,0.8653198653
bank,perceptron,acc,rafael-leonardo,v2,0.7877937566
bank,perceptron,f1,rafael-leonardo,v2,0.7588583952
bank,svm,acc,rafael-leonardo,v2,0.6794029916
bank,svm,f1,rafael-leonardo,v2,0.7126861205
bank,bayes,acc,rafael-leonardo,v2,0.7105181716
bank,bayes,f1,rafael-leonardo,v2,0.6926691903
bank,knn,acc,rafael-leonardo,v2,0.6004925781
bank,knn,f1,rafael-leonardo,v2,0.7601722267
bank,tree,acc,rafael-leonardo,v2,0.7264973934
bank,tree,f1,rafael-leonardo,v2,0.7998006615
Rice,perceptron,acc,rafael-scarpelli,v2,0.7333333333
Rice,perceptron,f1,rafael-scarpelli,v2,0.6825396825
Rice,svm,acc,rafael-scarpelli,v2,1.0
Rice,svm,f1,rafael-scarpelli,v2,1.0
Rice,bayes,acc,rafael-scarpelli,v2,0.9666666667
Rice,bayes,f1,rafael-scarpelli,v2,0.9665831245
Rice,knn,acc,rafael-scarpelli,v2,0.9666666667
Rice,knn,f1,rafael-scarpelli,v2,0.9665831245
Rice,tree,acc,rafael-scarpelli,v2,1.0
Rice,tree,f1,rafael-scarpelli,v2,1.0
Mushroom,perceptron,f1,renato-augusto-v2,v2,0.9419326241
Mushroom,perceptron,acc,renato-augusto-v2,v2,0.9419326241
Mushroom,svm,f1,renato-augusto-v2,v2,0.9725177305
Mushroom,svm,acc,renato-augusto-v2,v2,0.9725177305
Mushroom,bayes,f1,renato-augusto-v2,v2,0.6693262411
Mushroom,bayes,acc,renato-augusto-v2,v2,0.6693262411
Mushroom,tree,f1,renato-augusto-v2,v2,1.0
Mushroom,tree,acc,renato-augusto-v2,v2,1.0
Mushroom,knn,f1,renato-augusto-v2,v2,1.0
Mushroom,knn,acc,renato-augusto-v2,v2,1.0
car.csv,perceptron,f1,romulo-jordao,v2,0.8016012842
car.csv,perceptron,acc,romulo-jordao,v2,0.8901734104
car.csv,svm,f1,romulo-jordao,v2,0.9120086019
car.csv,svm,acc,romulo-jordao,v2,0.9768786127
car.csv,bayes,f1,romulo-jordao,v2,0.7214130662
car.csv,bayes,acc,romulo-jordao,v2,0.789017341
car.csv,knn,f1,romulo-jordao,v2,0.5223558392
car.csv,knn,acc,romulo-jordao,v2,0.8468208092
car.csv,tree,f1,romulo-jordao,v2,0.9243974939
car.csv,tree,acc,romulo-jordao,v2,0.9682080925
mushroom,perceptron,acc,thalles--barros,v2,0.4495073892
mushroom,perceptron,f1,thalles--barros,v2,0.4207247883
mushroom,svm,acc,thalles--barros,v2,1.0
mushroom,svm,f1,thalles--barros,v2,1.0
mushroom,bayes,acc,thalles--barros,v2,0.5443349754
mushroom,bayes,f1,thalles--barros,v2,0.5443349754
mushroom,tree,acc,thalles--barros,v2,1.0
mushroom,tree,f1,thalles--barros,v2,1.0
mushroom,knn,acc,thalles--barros,v2,0.9993842365
mushroom,knn,f1,thalles--barros,v2,0.998471315
dataset_name,classifier_name,metric,vitor--garcia,v2,
agaricus-lepiota,perceptron,f1,vitor--garcia,v2,0.8991436446
agaricus-lepiota,perceptron,acc,vitor--garcia,v2,0.9086879433
agaricus-lepiota,svm,f1,vitor--garcia,v2,1.0
agaricus-lepiota,svm,acc,vitor--garcia,v2,1.0
agaricus-lepiota,bayes,f1,vitor--garcia,v2,0.5840070672
agaricus-lepiota,bayes,acc,vitor--garcia,v2,0.6906028369
agaricus-lepiota,tree,f1,vitor--garcia,v2,1.0
agaricus-lepiota,tree,acc,vitor--garcia,v2,1.0
agaricus-lepiota,knn,f1,vitor--garcia,v2,1.0
agaricus-lepiota,knn,acc,vitor--garcia,v2,1.0
Car Evaluation,perceptron,acc,vitor-oliveira,v2,0.7803468208
Car Evaluation,perceptron,f1,vitor-oliveira,v2,0.7047619048
Car Evaluation,svm,acc,vitor-oliveira,v2,0.8815028902
Car Evaluation,svm,f1,vitor-oliveira,v2,0.76
Car Evaluation,bayes,acc,vitor-oliveira,v2,0.7398843931
Car Evaluation,bayes,f1,vitor-oliveira,v2,0.5454545455
Car Evaluation,tree,acc,vitor-oliveira,v2,0.9768786127
